department | exam_type | level | eligibility
State Public Service Commission (Nagaland)|Nagaland - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Nagaland)|Nagaland - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Nagaland)|Nagaland - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Nagaland)|Nagaland - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Nagaland)|Nagaland - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Nagaland)|Nagaland - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Nagaland)|Nagaland - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Odisha)|Odisha - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Odisha)|Odisha - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Odisha)|Odisha - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Odisha)|Odisha - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Odisha)|Odisha - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Odisha)|Odisha - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Odisha)|Odisha - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Odisha)|Odisha - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Punjab)|Punjab - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Punjab)|Punjab - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Punjab)|Punjab - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Punjab)|Punjab - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Punjab)|Punjab - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Punjab)|Punjab - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Punjab)|Punjab - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Punjab)|Punjab - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Rajasthan)|Rajasthan - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Rajasthan)|Rajasthan - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Rajasthan)|Rajasthan - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Rajasthan)|Rajasthan - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Rajasthan)|Rajasthan - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Rajasthan)|Rajasthan - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Rajasthan)|Rajasthan - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Rajasthan)|Rajasthan - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Sikkim)|Sikkim - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Sikkim)|Sikkim - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Sikkim)|Sikkim - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Sikkim)|Sikkim - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Sikkim)|Sikkim - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Sikkim)|Sikkim - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Sikkim)|Sikkim - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Sikkim)|Sikkim - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Tamil Nadu)|Tamil Nadu - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Tamil Nadu)|Tamil Nadu - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Tamil Nadu)|Tamil Nadu - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Tamil Nadu)|Tamil Nadu - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Tamil Nadu)|Tamil Nadu - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Tamil Nadu)|Tamil Nadu - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Tamil Nadu)|Tamil Nadu - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Tamil Nadu)|Tamil Nadu - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Telangana)|Telangana - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Telangana)|Telangana - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Telangana)|Telangana - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Telangana)|Telangana - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Telangana)|Telangana - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Telangana)|Telangana - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Telangana)|Telangana - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Telangana)|Telangana - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Tripura)|Tripura - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Tripura)|Tripura - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Tripura)|Tripura - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Tripura)|Tripura - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Tripura)|Tripura - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Tripura)|Tripura - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Tripura)|Tripura - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Tripura)|Tripura - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Uttar Pradesh)|Uttar Pradesh - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Uttar Pradesh)|Uttar Pradesh - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Uttar Pradesh)|Uttar Pradesh - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Uttar Pradesh)|Uttar Pradesh - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Uttar Pradesh)|Uttar Pradesh - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Uttar Pradesh)|Uttar Pradesh - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Uttar Pradesh)|Uttar Pradesh - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Uttar Pradesh)|Uttar Pradesh - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Uttarakhand)|Uttarakhand - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Uttarakhand)|Uttarakhand - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Uttarakhand)|Uttarakhand - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (Uttarakhand)|Uttarakhand - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (Uttarakhand)|Uttarakhand - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (Uttarakhand)|Uttarakhand - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (Uttarakhand)|Uttarakhand - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (Uttarakhand)|Uttarakhand - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (West Bengal)|West Bengal - State PSC Civil Services (State)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (West Bengal)|West Bengal - State PSC Combined Services|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (West Bengal)|West Bengal - State PSC Assistant Engineer (AE/JE)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission / State Police (West Bengal)|West Bengal - State PSC Police Services / SI|State|Varies (10th/12th/Graduate/Law/Engineering)
State Public Service Commission (West Bengal)|West Bengal - State PSC Group 2 / Group B Posts|State|Varies (10th/12th/Graduate/Law/Engineering)
State Education Board (West Bengal)|West Bengal - State TET (Teacher Eligibility Test)|State|Varies (10th/12th/Graduate/Law/Engineering)
State Police Department (West Bengal)|West Bengal - State Police Constable Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
State High Court (West Bengal)|West Bengal - State Judiciary / Civil Judge Recruitment|State|Varies (10th/12th/Graduate/Law/Engineering)
